Player ID,Player Name,Type,Rank,Player Name,PLayer First Name,Player Last Name,Player Use Name,Player Last Initial,Team ID,Team Abbreviation,Team Name,Team Short Name,League Name,League ID,Position,Position,Primary Position Abbreviation,Plate Appearances,Total Bases,Left on Base,Sacrifice Bunts,Sacrifice Flies,BABIP,Extra Base Hits,HBP,GIDP,GIDP Opponent,Total Pitches,Pitches/Plate Appearance,BB/PA,SO/Plate Appearance,HR/Plate Appearance,BB/SO,ISO,ROE,Walk Offs,Flyouts,Total Swings,Swing and Misses,Balls in Play,Pop Outs,Line Outs,Ground Outs,Fly Hits,Pop Hits,Line Hits,Ground Hits,Games Played,Air Outs,Runs,2B,3B,HR,SO,BB,IBB,Hits,Batting Average,AB,OBP,SLG,OPS,Caught Stealing,SB,Stolen Base %,GIDP,RBI,GO/Air Outs,Catchers Interference,AB/HR
592450,Aaron Judge,player,1,Aaron Judge,Aaron,Judge,Aaron,A Judge,147,NYY,New York Yankees,Yankees,AL,103,CF,Outfielder,CF,704,392,238,0,2,.367,95,9,22,129,2885,4.098,.189,.243,.082,.778,.379,6,0,83,1213,372,390,16,29,82,68,0,72,40,158,128,122,36,1,58,171,133,20,180,.322,559,.458,.701,1.159,0,10,1.000,22,144,0.64,1,9.64
660271,Shohei Ohtani,player,2,Shohei Ohtani,Shohei,Ohtani,Shohei,S Ohtani,119,LAD,Los Angeles Dodgers,Dodgers,NL,104,DH,Designated Hitter,TWP,731,411,236,0,5,.336,99,6,7,92,2838,3.882,.111,.222,.074,.500,.336,6,2,88,1343,397,479,26,44,124,62,0,85,50,159,158,134,38,7,54,162,81,10,197,.310,636,.390,.646,1.036,4,59,.937,7,130,0.78,3,11.78
665742,Juan Soto,player,3,Juan Soto,Juan,Soto,Juan,J Soto,147,NYY,New York Yankees,Yankees,AL,103,RF,Outfielder,RF,713,328,203,0,4,.298,76,4,10,95,2960,4.151,.181,.167,.058,1.084,.281,4,1,77,1093,237,461,22,34,162,51,0,71,44,157,133,128,31,4,41,119,129,2,166,.288,576,.419,.569,.988,4,7,.636,10,109,1.22,0,14.05
677951,Bobby Witt Jr.,player,4,Bobby Witt Jr.,Robert,Witt,Bobby,B Witt Jr.,118,KC,Kansas City Royals,Royals,AL,103,SS,Shortstop,SS,709,374,181,0,8,.354,88,8,4,92,2600,3.667,.080,.150,.045,.538,.256,6,0,124,1330,296,538,37,44,122,40,0,91,80,161,205,125,45,11,32,106,57,9,211,.332,636,.389,.588,.977,12,31,.721,4,109,0.60,0,19.88
670541,Yordan Alvarez,player,5,Yordan Alvarez,Yordan,Alvarez,Yordan,Y Alvarez,117,HOU,Houston Astros,Astros,AL,103,DH,Designated Hitter,LF,635,313,216,0,4,.317,71,10,14,102,2264,3.565,.109,.150,.055,.726,.259,3,0,125,1080,215,461,29,39,98,42,1,71,56,147,193,88,34,2,35,95,69,16,170,.308,552,.392,.567,.959,0,6,1.000,14,86,0.51,0,15.77
665489,Vladimir Guerrero Jr.,player,6,Vladimir Guerrero Jr.,Vladimir,Guerrero,Vladimir,V Guerrero Jr.,141,TOR,Toronto Blue Jays,Blue Jays,AL,103,1B,First Base,1B,697,335,225,0,4,.342,75,5,16,101,2602,3.733,.103,.138,.043,.750,.221,2,0,71,1249,268,524,22,47,185,40,0,94,65,159,140,98,44,1,30,96,72,12,199,.323,616,.396,.544,.940,2,2,.500,16,103,1.32,0,20.53
606466,Ketel Marte,player,7,Ketel Marte,Ketel,Marte,Ketel,K Marte,109,AZ,Arizona Diamondbacks,D-backs,NL,104,2B,Second Base,2B,583,282,172,0,9,.299,61,5,9,67,2146,3.681,.111,.182,.062,.613,.268,4,0,66,1032,220,407,19,29,146,35,1,58,53,136,114,93,23,2,36,106,65,7,147,.292,504,.372,.560,.932,1,7,.875,9,95,1.28,0,14.00
667670,Brent Rooker,player,8,Brent Rooker,Terry,Rooker,Brent,B Rooker,133,OAK,Oakland Athletics,Athletics,AL,103,DH,Designated Hitter,LF,614,307,207,0,4,.362,67,5,5,70,2378,3.873,.096,.288,.064,.333,.269,4,0,78,1193,407,373,30,23,82,50,2,64,44,145,131,82,26,2,39,177,59,4,160,.293,546,.365,.562,.927,3,11,.786,5,112,0.63,0,14.00
542303,Marcell Ozuna,player,9,Marcell Ozuna,Marcell,Ozuna,Marcell,M Ozuna,144,ATL,Atlanta Braves,Braves,NL,104,DH,Designated Hitter,DH,688,331,240,0,4,.359,70,3,23,87,2875,4.179,.108,.247,.057,.435,.244,2,0,87,1345,421,440,13,36,121,52,1,84,46,162,136,96,31,0,39,170,74,2,183,.302,606,.378,.546,.924,0,1,1.000,23,104,0.89,1,15.54
547180,Bryce Harper,player,10,Bryce Harper,Bryce,Harper,Bryce,B Harper,143,PHI,Philadelphia Phillies,Phillies,NL,104,1B,First Base,1B,631,289,213,1,2,.331,72,2,18,105,2469,3.913,.120,.219,.048,.551,.240,3,2,87,1303,347,415,17,40,114,39,0,72,46,145,144,85,42,0,30,138,76,11,157,.285,550,.373,.525,.898,4,7,.636,18,87,0.79,0,18.33
683002,Gunnar Henderson,player,11,Gunnar Henderson,Gunnar,Henderson,Gunnar,G Henderson,110,BAL,Baltimore Orioles,Orioles,AL,103,SS,Shortstop,SS,719,333,210,0,4,.320,75,7,2,70,2896,4.028,.108,.221,.051,.491,.248,2,0,73,1281,312,475,21,49,155,39,0,68,70,159,143,118,31,7,37,159,78,1,177,.281,630,.364,.529,.893,4,21,.840,2,92,1.08,0,17.03
608070,Jose Ramirez,player,12,Jose Ramirez,Jose,Ramirez,Jose,J Ramirez,114,CLE,Cleveland Guardians,Guardians,AL,103,3B,Third Base,3B,682,333,235,0,6,.265,80,1,9,119,2735,4.010,.079,.120,.057,.659,.258,4,0,124,1351,204,544,65,44,138,45,1,79,48,158,233,114,39,2,39,82,54,12,173,.279,620,.335,.537,.872,7,41,.854,9,118,0.59,1,15.90
646240,Rafael Devers,player,13,Rafael Devers,Rafael,Devers,Rafael,R Devers,111,BOS,Boston Red Sox,Red Sox,AL,103,3B,Third Base,3B,601,271,235,0,6,.323,67,3,13,82,2375,3.952,.111,.245,.047,.456,.244,2,1,60,1208,373,384,27,29,125,42,0,67,34,138,116,87,34,5,28,147,67,14,143,.272,525,.354,.516,.870,0,3,1.000,13,83,1.08,0,18.75
608369,Corey Seager,player,14,Corey Seager,Corey,Seager,Corey,C Seager,140,TEX,Texas Rangers,Rangers,AL,103,SS,Shortstop,SS,533,243,150,0,2,.291,51,3,8,70,1872,3.512,.099,.180,.056,.552,.234,0,0,86,993,232,381,12,41,110,33,0,53,46,123,139,68,21,0,30,96,53,11,132,.278,475,.353,.512,.865,1,1,.500,8,74,0.79,0,15.83
