Run Totals Chart
Team,0,1,2,3,4,5,6,7,8,9,10+
Chicago White Sox,19,28,26,31,17,14,12,6,4,2,2
St. Louis Cardinals,6,18,22,29,23,21,14,10,8,3,7
Philadelphia Phillies,5,12,23,19,24,26,15,7,8,8,14
Pittsburgh Pirates,12,22,21,21,21,21,10,8,10,8,7
Cincinnati Reds,16,23,13,21,24,15,12,7,9,5,16
Los Angeles Dodgers,5,14,14,20,26,16,20,11,9,7,19
Los Angeles Angels,9,21,23,21,26,23,11,10,6,8,3
San Diego Padres,9,13,21,28,16,10,24,13,6,9,12
Washington Nationals,18,18,21,23,13,21,16,10,9,3,9
Atlanta Braves,11,15,20,24,18,24,17,7,7,8,8
Colorado Rockies,15,17,19,28,21,11,13,10,12,9,6
Toronto Blue Jays,9,22,19,29,12,27,10,10,8,10,5
San Francisco Giants,8,11,18,36,27,23,8,10,6,5,9
Miami Marlins,12,20,24,29,21,11,15,11,6,5,7
New York Mets,12,13,23,16,18,15,18,15,8,8,13
Texas Rangers,10,16,28,21,28,16,15,9,0,7,11
Milwaukee Brewers,8,13,20,28,15,18,17,11,9,6,16
Boston Red Sox,7,24,20,15,20,16,15,15,11,9,9
Baltimore Orioles,8,13,17,25,24,14,15,15,6,11,13
Arizona Diamondbacks,7,15,15,18,17,24,12,12,8,13,20
Detroit Tigers,15,21,18,20,25,18,11,10,8,3,12
New York Yankees,8,8,25,16,23,20,13,14,14,4,16
Oakland Athletics,15,18,27,27,18,21,8,8,5,7,7
Minnesota Twins,10,15,24,21,21,18,19,6,7,3,17
Seattle Mariners,9,20,26,22,22,17,15,6,8,6,10
Kansas City Royals,8,17,21,20,22,21,13,9,14,3,13
Houston Astros,8,14,22,23,19,22,15,7,12,8,11
Tampa Bay Rays,8,26,33,23,18,17,8,10,6,6,6
Chicago Cubs,15,14,20,24,15,18,14,12,9,8,12
Cleveland Guardians,15,11,22,22,16,20,18,14,9,4,10
