Type,Rank,Short Name,Team ID,Team Abbreviation,Team Name,Team Short Name,League,League Name,League Short Name,Games Played,Ground Outs,Air Outs,Runs,2B,3B,HR,SO,BB,IBB,Hits,HBP,Batting Average,AB,OBP,SLG,OPS,Caught Stealing,SB,Stolen Base %,GIDP,Total Pitches,Plate Appearances,Total Bases,RBI,Left on Base,Sacrifice Bunts,Sacrifice Flies,BABIP,GO/Air Outs,Catchers Interference,AB/HR
team,1,San Diego,135,SD,San Diego Padres,Padres,NL,National League,National,162,1463,1589,760,259,18,190,1077,458,18,1456,56,.263,5526,.324,.420,.744,28,120,.811,133,23637,6103,2321,726,1068,28,31,.295,0.92,4,29.08
team,2,Arizona,109,AZ,Arizona Diamondbacks,D-backs,NL,National League,National,162,1433,1472,886,271,37,211,1265,569,17,1452,84,.263,5522,.337,.440,.777,30,119,.799,112,24532,6284,2430,845,1111,34,66,.302,0.97,9,26.17
team,3,Houston,117,HOU,Houston Astros,Astros,AL,American League,American,161,1397,1567,740,264,16,190,1176,448,28,1448,67,.262,5530,.322,.418,.740,24,93,.795,132,22359,6107,2314,701,1113,12,46,.299,0.89,4,29.10
team,4,LA Dodgers,119,LAD,Los Angeles Dodgers,Dodgers,NL,National League,National,162,1239,1585,842,291,26,233,1336,602,33,1423,64,.258,5522,.335,.446,.781,23,136,.855,99,24779,6255,2465,815,1143,10,51,.297,0.78,6,23.70
team,5,Philadelphia,143,PHI,Philadelphia Phillies,Phillies,NL,National League,National,162,1349,1445,784,285,24,198,1370,515,21,1423,62,.257,5534,.325,.425,.750,30,148,.831,107,23754,6166,2350,750,1115,13,40,.306,0.93,2,27.95
team,6,Boston,111,BOS,Boston Red Sox,Red Sox,AL,American League,American,162,1271,1379,751,311,30,194,1570,493,30,1404,73,.252,5577,.319,.423,.742,44,144,.766,110,24208,6192,2357,724,1116,7,40,.314,0.92,2,28.75
team,7,Baltimore,110,BAL,Baltimore Orioles,Orioles,AL,American League,American,162,1286,1581,786,262,33,235,1359,489,14,1391,64,.250,5567,.315,.435,.750,25,98,.797,71,24121,6176,2424,759,1108,6,45,.288,0.81,5,23.69
team,8,Milwaukee,158,MIL,Milwaukee Brewers,Brewers,NL,National League,National,162,1339,1364,777,249,33,177,1459,597,19,1359,46,.248,5472,.326,.403,.729,42,217,.838,97,24893,6170,2205,742,1113,15,34,.305,0.98,6,30.92
team,9,NY Yankees,147,NYY,New York Yankees,Yankees,AL,American League,American,162,1410,1433,815,243,15,237,1326,672,26,1352,49,.248,5450,.333,.429,.762,26,88,.772,138,24962,6245,2336,782,1141,14,57,.283,0.98,3,23.00
team,10,Kansas City,118,KC,Kansas City Royals,Royals,AL,American League,American,162,1361,1633,735,264,35,170,1161,429,22,1343,52,.248,5421,.306,.403,.709,31,134,.812,95,22755,5982,2187,711,990,23,54,.283,0.83,3,31.89
team,11,St. Louis,138,STL,St. Louis Cardinals,Cardinals,NL,National League,National,162,1373,1517,672,257,21,165,1318,478,10,1363,56,.248,5507,.312,.392,.704,29,91,.758,91,23977,6114,2157,639,1149,17,47,.294,0.91,9,33.38
